gcode,name,brand,product_line,series_title,release_date,sculptor,material,spec,status,price_jpy,price_usd
FIGURE-171374,,SEXYiCE,,,Jan-2025,,PVC & ABS,"Scale: 1/12
Size: Approx. H17.5cm
Material: PVC & ABS",,13640,94.12
FIGURE-189136,,SEXYiCE,,,Dec-2025,Oyatsu,"PVC, ABS, POK, Metal","Pre-painted Complete Action Figure
Size: Approx. H170mm
Material: PVC, ABS, POK, Metal",,15620,107.78
FIGURE-186932,,SEXYiCE,,,Nov-2025,Oyatsu,"PVC, ABS, POK, Metal","Pre-painted Complete Action Figure
Size: Approx. H200mm
Material: PVC, ABS, POK, Metal",,14960,103.22
FIGURE-198155,,SEXYiCE,,,May-2026,Oyatsu,"PVC, ABS, POK, Metal","Pre-painted Complete Action Figure
Size: Approx. H170mm
Material: PVC, ABS, POK, Metal",,15950,110.05
FIGURE-198528,,SEXYiCE,,,Jun-2026,Oyatsu,"PVC, ABS, POK, Metal","Pre-painted Complete Action Figure
Size: Approx. L110mm (tail excluded)
Material: PVC, ABS, POK, Metal",,6600,45.54
FIGURE-000000,,SEXYiCE,,,UNKNOWN,unknown,,,,0,0.00
